,playerID,Name,AB,H,average,Empirical Bayes Estimate,alpha1,beta1,PEP,Cumulative Mean
6874,poseybu01,Buster Posey,3278,1005,0.306589383771,0.302321819141,1122.98357784,2591.54678928,0.380625690278,0.112606068246
7204,richbla01,Lance Richbourg,2619,806,0.307751050019,0.302397118283,923.983577844,2131.54678928,0.388313887569,0.114694763847
1572,clarkwi02,Will Clark,7173,2176,0.303359821553,0.301461912519,2293.98357784,5315.54678928,0.391719442252,0.116777656166
2025,daubeja01,Jake Daubert,7673,2326,0.303140883618,0.301371777058,2443.98357784,5665.54678928,0.39502743694,0.118854147067
921,braunry02,Ryan Braun,5249,1597,0.304248428272,0.301640034809,1714.98357784,3970.54678928,0.395165850135,0.120900900423
6867,portedi01,Dick Porter,2515,774,0.307753479125,0.302210537212,891.983577844,2059.54678928,0.398753831953,0.122943936684
137,aloumo01,Moises Alou,7037,2134,0.303254227654,0.301327949071,2251.98357784,5221.54678928,0.402430123212,0.124983981841
2390,duncapa01,Pat Duncan,2695,827,0.306864564007,0.301764143106,944.983577844,2186.54678928,0.4167775827,0.127098428224
3932,hollima01,Matt Holliday,6583,1995,0.303053319155,0.301014949339,2112.98357784,4906.54678928,0.427774429863,0.129261564927
8729,troutmi01,Mike Trout,2997,917,0.305972639306,0.301434228675,1034.98357784,2398.54678928,0.429216046383,0.131404096937
6159,myerbu01,Buddy Myer,7038,2131,0.302784882069,0.300886272098,2248.98357784,5225.54678928,0.434942609865,0.133556852348
3335,greerru01,Rusty Greer,3829,1166,0.304518150953,0.301013817119,1283.98357784,2981.54678928,0.444327738813,0.135745379718
2235,dillibo01,Bob Dillinger,2904,888,0.305785123967,0.301144868415,1005.98357784,2334.54678928,0.444594164075,0.137905161426
8939,walkecu01,Curt Walker,4858,1475,0.303622890078,0.300873442475,1592.98357784,3701.54678928,0.446438639708,0.140047755025
4717,kuennha01,Harvey Kuenn,6913,2092,0.302618255461,0.300697251042,2209.98357784,5139.54678928,0.44945990575,0.142181631927
5459,mayswi01,Willie Mays,10881,3283,0.301718592041,0.300505805376,3400.98357784,7916.54678928,0.454351916576,0.144319784562
6016,morriha02,Hal Morris,3998,1216,0.304152076038,0.300817328422,1333.98357784,3100.54678928,0.454466337458,0.146429625058
978,brodist01,Steve Brodie,5699,1726,0.302860150904,0.300541838685,1843.98357784,4291.54678928,0.464583303476,0.148579312074
5609,mckeaed01,Ed McKean,6890,2083,0.302322206096,0.300412810369,2200.98357784,5125.54678928,0.470623577346,0.150740682982
6049,motama01,Manny Mota,3779,1149,0.30404869013,0.300551405756,1266.98357784,2948.54678928,0.470648763579,0.152873403519
6459,orsater01,Ernie Orsatti,2165,663,0.30623556582,0.300201599687,780.983577844,1820.54678928,0.493323301207,0.155128038603
4807,larkihe01,Henry Larkin,4718,1429,0.302882577363,0.300121149293,1546.98357784,3607.54678928,0.49404446266,0.157357751919
3935,holloch01,Charlie Hollocher,2936,894,0.304495912807,0.300066557654,1011.98357784,2360.54678928,0.498633482297,0.159588312248
3324,greenmi01,Mike Greenwell,4623,1400,0.302833657798,0.300024600644,1517.98357784,3541.54678928,0.500108415089,0.161799481747
3829,highadi01,Dick Higham,1787,549,0.307218802462,0.299966030465,666.983577844,1556.54678928,0.503856547377,0.164006301526
8725,troskha01,Hal Trosky,5161,1561,0.302460763418,0.299950776097,1678.98357784,3918.54678928,0.504757826998,0.166190606176
9057,webbea01,Earl Webb,2161,661,0.305876908839,0.299893925285,778.983577844,1818.54678928,0.506984839366,0.168361270082
1883,cronijo01,Joe Cronin,7579,2285,0.301490961868,0.299790964264,2402.98357784,5612.54678928,0.5175854499,0.170571549701
3291,grantge01,George Grantham,4989,1508,0.302264982963,0.299691176313,1625.98357784,3799.54678928,0.521372579116,0.172777845483
2154,demonge01,Gene DeMontreville,3615,1096,0.303181189488,0.299635808655,1213.98357784,2837.54678928,0.521998311315,0.174960473395
1366,caseyse01,Sean Casey,5066,1531,0.302210817213,0.299677324399,1648.98357784,3853.54678928,0.522394789047,0.177118450511
696,bissode01,Del Bissonette,2291,699,0.305106940201,0.299532349004,816.983577844,1910.54678928,0.523478513078,0.179256475588
4938,leslisa01,Sam Leslie,2460,749,0.304471544715,0.299317965966,866.983577844,2029.54678928,0.534083498936,0.181433328492
3443,hackst01,Stan Hack,7278,2193,0.301319043693,0.299562444876,2310.98357784,5403.54678928,0.534741544814,0.183587646884
3565,harpege02,George Harper,3398,1030,0.303119482048,0.299380489378,1147.98357784,2686.54678928,0.535236594427,0.185718852627
3941,holmeto01,Tommy Holmes,4992,1507,0.301883012821,0.299341344333,1624.98357784,3803.54678928,0.543747741181,0.187875653161
8575,thomafr04,Frank Thomas,8199,2468,0.301012318575,0.299458570337,2585.98357784,6049.54678928,0.544964974593,0.19001391257
